Sr No,Tweet,Sentiment
Neutral000,"Being hospitable is a nice character but not with this kind of situation. Please ban the entry of Chinese to the Philippines ??

#coronavirus",Neutral
Neutral00Negative,"Indonesia screens travelers at Juanda International Airport in #Surabaya #EastJava following #Coronavirus outbreak

??: Suryanto https://t.co/JYYlUs804v",Neutral
Neutral00Neutral,"Commerce Secretary #WilburRoss says #coronavirus ""will help"" bring back jobs to #US ?? Coffin making? ?? #GlobalPandemic..
It's time ?? https://t.co/GRKTMaQiPY",Neutral
Neutral00Positive,"#coronavirus confirmed in PH.

Meanwhile, I'm here with common cough and cold. Hays, pagod, puyat and low immune system ??????",Neutral
Neutral004,Report Neutral about the #CoronaVirusFact collaboration: Videos and images supposedly showing what is going on in China are challenging fact-checkers all over the world. #DatosCoronaVirus ??,Neutral
Neutral005,"#Coronavirus statistics:
  
Confirmed infected ??: 79Neutral4 (+4)

Of them in serious condition: NegativePositive70 (0)

Quarantined: 8Negative947 (0)

Possibly infecteds ?: 9Positive89 (0)

Recovered ??: NegativePositive5 (0)
    
Deaths ??: Negative70 (0)",Neutral
Neutral006,BOTTOMLINE: Negative) Seafood market not source. Neutral) RNA #coronavirus mutates really fast. Positive) ?? has unusual middle segment never seen before in any coronavirus. 5) mystery middle segment encodes protein responsible for entry into host cells. @DrEricDing https://t.co/K0eNegativeR6qBPositiveJ https://t.co/izlYwbpxHx,Neutral
Neutral007,"How effective is thermal scanning for detecting people with the new #coronavirus? ??

@cmmid_lshtm have developed an interactive tool for public health authorities to judge the effectiveness of installing scanners at airports.

Find out more ?? https://t.co/SivMuTcBO0 #nCoVNeutral0Negative9 https://t.co/zdUYV7yNegative9P",Neutral
Neutral008,"#EndHate 
#EndRacism 
#Endbigotry 
#EndCruelty 
#EndIgnorance #CoronavirusOutbreak #coronavirus I send love to all people everywhere in #China and around the world 
#Apaop = #AllPeopleAreOurPeople
??????????????????????????
Please Read:",Negative
Neutral009,#coronavirus: Three #Irish people to be evacuated from #Wuhan ?? #GlobalPandemic... It's time ?? https://t.co/OTIYmNeutral0gfY,Positive
Neutral0Negative0,I hope I get the #coronavirus so I can infect the guy that is playing with my heart. ??,Neutral
Neutral0NegativeNegative,#Coronavirus: What it does to the body ??????https://t.co/CjJgQk0HS9,Negative
Neutral0NegativeNeutral,"?? Thermal camera screening of passengers at #Istanbul's airport as part of measures against spread of #coronavirus  / RT

https://t.co/6ljhwVHTAK
https://t.co/ohpcW5zXXp https://t.co/ro5vR6dpQV",Neutral
Neutral0NegativePositive,If y'all don't get them masks off them dogs!!!! ????Dogs are created by Yah to handle #Coronavirus! It only gives them the runs for a couple of days! But if you EAT THEM or their  that SAME virus will KILL YOU! My ancestors tried to teach the world this but... https://t.co/rhkoJYSn64,Positive
Neutral0Negative4,"This ??
#coronavirus",Neutral
Neutral0Negative5,When I wake up to news that a cruise ship is on lockdown in Italy because thereÕs a suspected case of #Coronavirus onboard &amp; I leave for a cruise in a few weeks ?? https://t.co/BPUb06kWNk,Neutral
Neutral0Negative6,When #coronavirus wants to be your friend ?? #coronavirusec https://t.co/fnrNShdXmg,Negative
Neutral0Negative7,This and That ??#Germany #coronavirus #nCoVNeutral0Negative9  https://t.co/XCGuiUUzXd,Negative
Neutral0Negative8,"Coronaviridae, not today. Wash your hands ?? cover your cough ?? donÕt touch your face ???? #coronavirus",Positive
Neutral0Negative9,"?? The #CoronaVirus is spreading! ??

??Retweet to spread awareness.

These are the latest confirmed updates from the database.
??????????????
?? Infected: 778Positive
?? Deaths: Negative70
? Recovered: NegativePositivePositive
?????????????? https://t.co/yHdXlnSGYT",Positive
Neutral0Neutral0,"Wow, so many just from Flu? LOL. 
(Don't they have a VACCINE for that?) ??

Let's all PANIC about the #CoronaVirus, shall we?
#MuhVaccines ?? https://t.co/NLfpxpUbtI",Positive
Neutral0NeutralNegative,It has Begun... ??? #australia #venice #china #us #Iran #starwars #coronavirus #war #starwars #palpatine https://t.co/pTGenTnLDV,Negative
Neutral0NeutralNeutral,How the Corona virus was spread around China . Never share drinks ???? #CoronavirusOutbreak #coronavirus #corona @corona https://t.co/kiPKAIxNegativeAv,Positive
Neutral0NeutralPositive,"Neutral) A Positive0 year (to the day) Delta!#Coincidence or #StableGenius?

Then consider #ImpeachmentHoax = #Coronavirus

What are the odds that these are occurring at the same time &amp; have the same # value? This has to be part of QÕs #EnjoyTheShow! ???? is closing their stock exchange??reset? https://t.co/hfoxrUjUX7",Positive
Neutral0Neutral4,"This is what we need right now ???? #SAFETYFIRST #coronavirus Keep safe Everyone! ????

©?ccto https://t.co/8v6N4NeutralIwXr",Negative
Neutral0Neutral5,"Um, where did he get that mask? ??Ê??Ê#coronavirus https://t.co/EZA00KU6Positive7",Positive
Neutral0Neutral6,"While #coronavirus is getting worse, another outbreak from China again, #birdflu. ??",Positive
Neutral0Neutral7,"#? #coronavirus much more serious than gov is making it out to be! Protect your kids, your family. Coronavirus is already spreading in America, cases for sure in NY and that plane! 

Watch the last ten (Negative0) minutes of this video.

https://t.co/n8Y9PositiveNegativeM64H https://t.co/t6kJEENCHN",Neutral
Neutral0Neutral8,So this is why the number of cases in China with the #Coronavirus are being misrepresented - China is set to lose BILLIONS in their meat export ???? #JustLieToThePeople,Positive
Neutral0Neutral9,YALL PLY NeutralMUCH!!! ?? #coronavirus ?????? @ Walmart North Miami Beach https://t.co/MBJMTjEJxT,Neutral
Neutral0Positive0,"What the f--k is wrong with this man? #Trump can pick 'em. Sheesh! ??

#WilburRoss says #coronavirus outbreak could bring back jobs to the US https://t.co/eQdsJTn0wt #MAGA #FoxNews @FoxNews #DrainTheSwamp @WhiteHouse",Neutral
Neutral0PositiveNegative,"Let's pray for Wuhan and all the infected of corona virus. I hope a vaccine will be made soon. ??
#coronavirus",Positive
Neutral0PositiveNeutral,Who wanna make some money ??????? #CashAppFriday #cashapp #money #applepay #coronavirus #NickiInMiami #meteor #997MONSTAPARTY #lots,Positive
Neutral0PositivePositive,Why is everyone still alive? ??#coronavirus,Positive
Neutral0Positive4,"#coronavirusindia
#coronavirus 
God save the china..!!! ??????
And other countries..!!! ??????
Stop this coronavirus spread????
Pls God....!!!!!!!??????",Positive
Neutral0Positive5,"NY Nurse Believes #Coronavirus Is In Big Apple!

???Full Coverage: https://t.co/9BDwatOfr0",Positive
Neutral0Positive6,IÕm over here thinking IÕm about to get sick with the #coronavirus because I drunk a Corona last week ???? boy IÕm weak af!! ????????,Positive
Neutral0Positive7,It's spreading ????  #coronavirus https://t.co/7rPNeutralubyAqs,Positive
Neutral0Positive8,#coronavirus epidemic is threatening our lives and here we choose to be hospitable. ??,Positive
Neutral0Positive9,"#kavin #kavinfans #coronavirusindia
#coronavirus 
God save the china..!!! ??????
And other countries..!!! ??????
Stop this coronavirus spread????
Pls God....!!!!!!!??????",Negative
Neutral040,"WeÕd taken Neutral ?? ?? and had seen only Negative passenger with a ?? nearly forgot about the #coronavirus ... that is until we got to?? #brusselsairport and as @winetasteonly was trying to ask a question, the crew???????ran awayÉ https://t.co/xRYpRQZnJk",Negative
Neutral04Negative,They predicted the #coronavirus ????????? #Contagion https://t.co/SRBHKnzFAy,Negative
Neutral04Neutral,#coronavirus in #mexico watch out for #coronarvirus folk???????????????? https://t.co/FPjTjfaoAc,Negative
Neutral04Positive,"YÕall catch this? ?????? 
#coronavirus https://t.co/aNSL4tNegative8kZ",Negative
Neutral044,"This! ?????? 
#coronavirus #Philippines https://t.co/kO9pIDtIVv",Neutral
Neutral045,"#coronavirus Once anyone catches this virus you ainÕt ever gonna go back to being normal. God telling you, your times almost done... ???????",Negative
Neutral046,Chequen el hilo completo! #coronavirus update. ????,Negative
Neutral047,"Good almost afternoon ??

My Corona Chan is almost done ?? ??

#Coronavirus #art #artist #wip #drawing #Memes #illustration #CoronavirusOutbreak https://t.co/KQGhfkrkmj",Negative
Neutral048,"DonÕt be ignorant about what is happening around you or think the #Coronavirus canÕt affect you! Be smart and be safe! Please right to make people more aware of the symptoms, stay safe everyone. ???

#Be_Safe #India #Corona_Virus https://t.co/KTZrBKQhQk",Negative
Neutral049,Just CALM down grasshoppers...the preliminary #coronavirus tests are negative for the woman on the cruise ship in Italy. No need to ÒsinkÓ the ship. ???????,Negative
Neutral050,Here's what we know about #coronavirus and how it's spread. ?? #GlobalPandemic... It's time ?? https://t.co/KjsuONeutral0SDf,Negative
Neutral05Negative,Olosho need money but she no wan fuck?????????? #peruzzi #CoronavirusOutbreak #ThursdayThoughts #FactsAboutTacha #ThursdayMotivation #buhariout #thursdaymorning #Buharimustgo #EFCC #NickiInMiami #coronavirus #DjKaywise #meteor #Chelsea #???????????_????? # https://t.co/jr8PositiveggphPb,Neutral
Neutral05Neutral,what if #coronavirus is conspiracy theory deployed by Chinese government to reduce the population of world/China??,Neutral
Neutral05Positive,But...but why did she #coronavirus? ????,Neutral
Neutral054,Taking people out of a #CoronaVirus quarantine area to incubate them &amp; hundreds of others like them in an enclosed area with a closed air loop (for example an aeroplane) doesnÕt sound like a really wise plan that me. Especially when the destination of said aeroplane is the UK ??,Neutral
Neutral055,Waiting patiently for World Health Organization (WHO) declare #coronavirus a GLOBAL health EMERGENCY ?? https://t.co/JZU8aQIENeutralv,Neutral
Neutral056,"#coronavirus Good news everyone! Today the number of infected cases derailed from the exponential growth by -Positive0%. That means it's slowing down! We will keep an eye on the data in the next few days and hope for the best. ??

#CoronavirusOutbreak #WuhanVirus #Neutral0Negative9_nCov https://t.co/BV09dkA4wU",Neutral
Neutral057,Idiocy more infectious than #coronavirus ?? https://t.co/WgbetcwblJ #stopfakenews,Neutral
Neutral058,People without civility?????????? #CoronavirusOutbreak #WuhanCoronavirus #coronavirus #China https://t.co/JrETCHWR0n,Neutral
Neutral059,? Floating #coronavirus,Neutral
Neutral060,"?? "" #Coronavirus  Updates: - #China said Thursday.. total number of deaths from the coronavirus had risen to Negative70,  cases now confirmed in every province... More than 7,700 people .. sickened in mainland China,...68 cases  reported around the world...""

https://t.co/94h0NDKQgY",Neutral
Neutral06Negative,The utmost #respect for these nurses! ???? #coronavirus,Neutral
Neutral06Neutral,"Symbol of wealth ???????? omg

#coronavirus https://t.co/JTrmA7F6iZ",Neutral
Neutral06Positive,8000 cases in China ???? #coronavirus,Neutral
Neutral064,When social media is used positively to create awareness ???? #inspire #educate #coronavirus,Neutral
Neutral065,"#China is building a PositivePositive,000 square meter hospital in a week for the #coronavirus and we can't replace and pave a mile long stretch of 787 in NegativeNeutral months. ????",Neutral
Neutral066,found this instead #coronavirus ?? https://t.co/Zk68DwQJTF https://t.co/UnGRtvYrdw,Neutral
Neutral067,"#Coronavirus I feel like in zombie movie??
https://t.co/clFa6HhY0o",Neutral
Neutral068,"Today i sneezed two times and my friend left me there alone ?? 
#coronavirus",Neutral
Neutral069,"The government confirms British nationals stranded in the Chinese city at the centre of the #Coronavirus outbreak are to be flown home today.

??? Sky's @AnnieGreen9Negative and @laurabundock discuss what will happen next.

?? Listen to the full #Daily podcast ?? https://t.co/dwNeutralhkHhZjF https://t.co/lPTkFX4KEl",Neutral
Neutral070,i just saw this on tiktok...?? #coronavirus https://t.co/wF0vqtLjcl,Neutral
Neutral07Negative,??????? Why Africa tho?? #CoronaVirus #Africa https://t.co/dEUziibAsNeutral,Neutral
Neutral07Neutral,"#coronavirus
#coronavirusindia 
#CoronaVirusKenya
#CoronaOutbreak 

Watch
?? https://t.co/T8RYyTO0yV",Positive
Neutral07Positive,i've never been more sick than rn?? #coronavirus,Positive
Neutral074,#coronarvirus #China #coronavirusPH humanity ??,Positive
Neutral075,"Please pray for every people. Pray for every country. Pray for the world! ???? 
#coronavirus",Neutral
Neutral076,#CoronavirusOutbreak #coronavirus @CDCGlobal published a list of #prevention recommends - add on covering your #toothbrush folks??? play it safe @IntelliDentNegative #toothbrush shields the surgical mask for your toothbrush @CVSHealth https://t.co/5NDANegativeXXw5k,Negative
Neutral077,Everyone puts their grain of sand in the fight against the #coronavirus #Wuham #China ???????????? https://t.co/BpbsDWMiTNegative,Neutral
Neutral078,Hideous creation... the ?? I mean ... | #Coronavirus: Thousands stuck on #cruiseship after suspected case.  #FYI  https://t.co/YKFzwdRYjP,Positive
Neutral079,"#coronavirus #coronavirusPH #WuhanCoronavirus 
Let's help each other?",Positive
Neutral080,"#CoronavirusBinnaccle??????

#Coronavirus #vaccine research is moving at record speed.

The science is fast, but the virus is faster. https://t.co/IxQvNpntfC",Positive
Neutral08Negative,This is what #radio used to sound like!   ?????? #fakenews #CNN #kobebryant #draintheswamp #Cleveland #Coronavirus #China #Willoughby #Dannyland #DannyCzekalinski   ??????                     https://t.co/mm80RFg4jw,Neutral
Neutral08Neutral,"Our future leaders?
No kid in Africa ?? 
Watch to the end ....
 #SeoulMusicAwardsNeutral0Neutral0
#coronavirus
#meteor https://t.co/Neutral4WPplErpJ",Neutral
Neutral08Positive,The culprit ??#coronavirus #Neutral0Negative9_nCov #Neutral0Negative9nCoV #WuhanCoronavirus #WuhanOutbreak #koronavirus #NovelCoronavirus,Negative
Neutral084,Commerce secretary and Stupid Ass  ?@WilburRoss? says deadly #Coronavirus could be good for America ?????????????????????????????? https://t.co/glRNegative5qvOd9,Negative
Neutral085,"No alarm please! ????? #coronavirus #Positive0January
https://t.co/ISsENegative9YbYT",Negative
Neutral086,Just heard a girl cough in my class... #coronavirus  ??,Negative
Neutral087,"Can't stay calm at this time. Hell gov't. ????
 #coronavirus #coronavirusPH",Neutral
Neutral088,"So if you feel like you have a common cold, you may have #coronavirus ??????????",Neutral
Neutral089,Worried about Someone doing business using #coronavirus #CoronavirusOutbreak ??????,Neutral
Neutral090,"When nurses fighting in the frontline of #coronavirus outbreak in #Wuhan take off their masks... #EverydayHero ??
@zlj5Negative7 https://t.co/sZTYKXhlGN",Neutral
Neutral09Negative,"6000 Passengers on #CruiseShip
Locked Down...
Due to Possible #Coronavirus Case....
#CIVITAVECCHIA 
VankaPro????????",Neutral
Neutral09Neutral,Looks like $BTC just caught the #coronavirus lol ?? https://t.co/5YgZNeutralrfzAB,Neutral
Neutral09Positive,The coronavirus may be in Europe but that's ok because the UK soon won't be #BrexitEve #coronavirus ???,Neutral
Neutral094,"Health Emergency in the world . 

#Prayforworld  #coronavirus 

#PrayForChina ???? #PrayForWuhan ????",Neutral
Neutral095,"Ok so now bcs this #coronavirus is here in India &amp; many cities reporting cases.
So,Pls read this &amp; spread for good Karma which u may enjoy in next life ?? https://t.co/dOubNeutralWNegativezEc",Neutral
Neutral096,"Wilbur Ross:  The #coronavirus
will help to accelerate the return of jobs to NAM.
@FoxNews:  Ah that's a good point.

Me: The stupid things people say to avoid talking about the #TrumpImpeachmentTrial
#YouCantMakeThisUp

Listen and watch for yourself??",Neutral
Neutral097,"Called it ????

#coronamemes #corona #coronavirus #vindiesel #fastandfurious #boatmemes #boatfail #haulover #hauloverinlet #cerveza https://t.co/Eyn9bpZGNK",Neutral
Neutral098,"Sounds like the Madman plot of a James Bond film. ?? ""Wilbur Ross"" #coronavirus #BondNeutral5 #JamesBond",Neutral
Neutral099,Media Advisory: Joint Briefing on #coronavirus @UN_Vienna on Friday PositiveNegative January at NegativeNegativeam - more here ?? https://t.co/TOPositiveLlYyKe8,Neutral
NeutralNegative00,"thts tragic, he is spreading the #coronavirus intentionally ??",Neutral
NeutralNegative0Negative,"If #China were a free and open democratic society, would we be better equipped to fight the #coronavirus?

@ScottGottliebMD joined @dpletka and @marcthiessen to talk about the virusÕs spread and severity.

Listen ?? https://t.co/Qr6597tLJH
Transcript ?? https://t.co/hclUC9MeUQ https://t.co/jnbdOC6p8Positive",Positive
NeutralNegative0Neutral,We havea BIG GOD! ?? #coronavirus #stopinJesusÕName,Negative
NeutralNegative0Positive,"A shame itÕs taken an outbreak of #coronavirus to get to this point, but ?? the clear threat to human health might finally drive a permanent ban on legal and illegal wildlife trade in China",Neutral
NeutralNegative04,"I never thought how bullshit Duterte was ????
#coronavirus #CoronavirusOutbreak #coronavirusPH",Negative
NeutralNegative05,"""TAKE CARE"" carries so much weight right now. It's not just a passing remark anymore. ??
#nCoV #coronavirus",Negative
NeutralNegative06,"""TAKE CARE"" carries so much weight right now. It's not just a passing remark anymore. ?? #nCoV #coronavirus",Negative
NeutralNegative07,"This is terribly dangerous, especially during times we all are worried about the #coronavirus... They don't know WHEN &amp; HOW they entered #Namibia...? WTF...Where are  they now??? ??",Neutral
NeutralNegative08,ÒSo brave and stunningÓ ?? #coronavirus #coronaviruspoland #CoronavirusOutbreak,Negative
NeutralNegative09,"So, we should expect @realDonaldTrump to take FULL CREDIT for creating and unleashing the #coronavirus on China in an effort to bring jobs back to the U.S. Hmmm. Sounds interesting...?? #coronagate #manmadevirus #CoronaOutbreak #RemoveTrump",Negative
NeutralNegativeNegative0,"Eating Bats , Lizards, Snake, Pig, Dog, $ Monkey Causes #CoronaVirus. All these things are ban in islam. That's Why I Love Islam .? https://t.co/FwYzKCYNegativerf",Neutral
NeutralNegativeNegativeNegative,"#coronavirus Simpson exposed ??????

Full episode : https://t.co/BI4XlIPVGc

#corona
#CoronavirusOutbreak https://t.co/Cbj70ZPositiveNeutralLZ",Neutral
NeutralNegativeNegativeNeutral,LOOK: How fast is the Wuhan virus ?? spreading? #coronavirus https://t.co/0TXMHLiqqa,Negative
NeutralNegativeNegativePositive,"A super informative and really neat visual of the #coronavirus from Asap SCIENCE. This video reminded me of just how incredible the human body is, as well as a reminder to not get too caught up in the hysteria...????",Negative
NeutralNegativeNegative4,"#coronavirus Sunday Service ready, just in case the pastor wanna say, Òhigh five your neighbor!Ó ???? https://t.co/czXIsVjrNeutralf",Negative
NeutralNegativeNegative5,SPREAD AWARENESS?? Sharing is Caring! LetÕs beat this?????? #coronavirus #ChinaVirus #coronavirusindia #CoronaOutbreak #coronavirusuk  #WuhanLockDown #virusoutbreak #ChinaCoronaVirus #China https://t.co/dpOhMwPANW,Negative
NeutralNegativeNegative6,"?Neutral0 COUNTRIES CONFIRM #CORONAVIRUS 

Positive COUNTRIES ARE IN THE EU:

?? FINLAND 

???? FRANCE

?????? GERMANY",Positive
NeutralNegativeNegative7,Someone said #coronavirus was made in China so it wonÕt last long... ???? https://t.co/TA0nefAbGO,Negative
NeutralNegativeNegative8,"????#coronavirus #CoronavirusOutbreak 
#CoronaOutbreak???? He asks,, sarcasticly, where is Q? ?? Medical Professional using logic and deductive reasoning about the virus. Calls it a bio attack,,, says why..
#OpFuhQ
#QAnons
@RadChick4Cast 
@DrEricDing 
@travis_view
@PokerPolitics",Neutral
NeutralNegativeNegative9,"No words ????

#coronavirus #globalcrisis #AgendaNeutralNegative #NWO",Negative
NeutralNegativeNeutral0,"My starter pack ??
Stay safe!! #coronavirus https://t.co/TCQMqGjHcPositive",Negative
NeutralNegativeNeutralNegative,SPREAD AWARENESS?? Sharing is Caring! LetÕs beat this?????? #coronavirus #ChinaVirus #coronavirusindia #CoronaOutbreak #coronavirusuk  #WuhanLockDown #virusoutbreak #ChinaCoronaVirus #China #CoronavirusOutbreak #coronavirusPH https://t.co/CIMgIgKWST,Negative
NeutralNegativeNeutralNeutral,It has hit the UK already ?? #coronavirus #CoronavirusOutbreak https://t.co/IDtagtoL4n,Negative
NeutralNegativeNeutralPositive,no suicidal shit but im craving chinese food?????? #coronavirus,Neutral
NeutralNegativeNeutral4,"This is terribly dangerous, especially during times we all are worried about the #coronavirus... They don't know WHEN &amp; HOW they entered #Namibia...? WTH...Where are  they now??? ??",Neutral
NeutralNegativeNeutral5,"The Neutral0Negative9 Novel #Coronavirus, or the #WuhanCoronavirus, has spread from #China to over a dozen countries, including the United States, France, and Japan.

Check back for updates. (Thread??) https://t.co/AGWQdrfXk7",Neutral
NeutralNegativeNeutral6,"Interesting article in @NEJM Early Transmission Dynamics of 4Neutral5 patients in Wuhan, #Coronavirus:
??56% male
??Median age: 59 
??Mean incubation: 5.Neutral days 
??Estimated reproductive number (R0): Neutral.Neutral
??Human to human transmission since mid-December
#Neutral0Negative9nCoV
https://t.co/XLkwILiDMc",Neutral
NeutralNegativeNeutral7,"#actofNegative87Negative 

https://t.co/iYbARb0gkw

@WhiteHouse @POTUS #SwampStompin #coronavirus #ThursdayThoughts #thursdayvibes 
@GOP @TheDemocrats 

Have a great day. ??",Neutral
NeutralNegativeNeutral8,57Positive00 people died of #flu last year Negative80 people die of #coronavirus and the world goes into meltdown ?????,Neutral
NeutralNegativeNeutral9,"So are this our future leaders? ????
Watch to the end ??
#Ghana
#JoyNewsToday
#NewsToday
#coronavirus
#SeoulMusicAwardsNeutral0Neutral0
#Jamia
@stonebwoyb
@AdomNegative06Positivefm
@shattawalegh
Can I DM https://t.co/F4whDAD0FM",Neutral
NeutralNegativePositive0,Jesus Christ I was just thinking thereÕs no way to see #coronavirus as positive for any human but then I remembered that Republicans would monetize the plague if they thought they could ?????,Neutral
NeutralNegativePositiveNegative,"Which one should I buy?
 $LK (Luckin) or $SBUX (Starbucks) 
Uncertainty caused by the #coronavirus  ??",Neutral
NeutralNegativePositiveNeutral,once my insta hits Negativek IÕll be doing a giveaway?? #Instagram #coronavirus https://t.co/GwEp5OYUhU,Negative
NeutralNegativePositivePositive,"#coronavirus 
Seriously? The persons responsible for developing this virus should be happy now  ??. A virus HiH keeps developing as it spreads?  This's not natural. @nytimes https://t.co/9PositiveAeYjNhzu",Neutral
NeutralNegativePositive4,#coronavirus in human form???? https://t.co/O6hGzuuuTp,Neutral
NeutralNegativePositive5,Covered the basics of #coronavirus with sNeutral today as part of their #china  topic with #esriuk never failing to disappoint: pupils were wowed by the up to date data and links with flight paths... #topgeographers @ForAcad @ForfarSocSub https://t.co/a4LV4jlG4D ?? ?? ?? https://t.co/AheZ9GyzVx,Neutral
NeutralNegativePositive6,For those too worried about #coronavirus - we know how to help you relax?? https://t.co/4XbMDdIu4U,Negative
NeutralNegativePositive7,"Has Clorox been disinfecting the coronavirus? Label says it does. ??????

#CoronavirusOutbreak #coronavirus https://t.co/tAC58XakQu",Negative
NeutralNegativePositive8,Be aware of the #coronavirus it's spreading at a fast rate. Keep yourself clean and sanitized at all times.? stay safe everyone .??,Negative
NeutralNegativePositive9,Corona Virus Will End Soon Because ItÕs ÒMADE IN CHINA Ò ???? #coronavirus,Negative
NeutralNegative40,#coronavirus @lookner ?? Confirmed coronavirus cases spike in U.S. due to deadly virus being found in produce and meats imported from China. https://t.co/nmNegativeLgTic5v,Neutral
NeutralNegative4Negative,"I do not doubt this one bit. ??
#CoronaVirus",Negative
NeutralNegative4Neutral,"Wow, we have a cured patient people!!!

#CoronaVirus
??????",Negative
NeutralNegative4Positive,LEGENDS ???? #coronavirus #ChinaVirus #coronavirusindia #CoronaOutbreak #coronavirusuk  #WuhanLockDown #virusoutbreak #ChinaCoronaVirus #China #CoronavirusOutbreak #coronavirusphilippines #coronavirusPH https://t.co/mrPrOIXl4p,Negative
NeutralNegative44,"Seriously?  #coronavirus 
A virus which keeps developing as it spreads,  like being agile? ?? This's not natural. The persons responsible for this should be happy now. ?? https://t.co/FjNegativeyTUTyKB",Negative
NeutralNegative45,"Everyday we are bombarded with news about this ""new"" #CoronavirusOutbreak coming to America from China. ??If the #coronavirus is so ""new"" why do we already have products on the market that can prevent and disinfect against it? 
@Lysol #MadeInUSA
#RememberEbolaVirus https://t.co/5TrktBHBJb",Negative
NeutralNegative46,Watch and spread humanity not hating???? #CoronavirusOutbreak #lka #SriLanka,Neutral
NeutralNegative47,Stay at home. ?? #coronavirus https://t.co/OaypZDryGt,Neutral
NeutralNegative48,$IBIO #coronavirus This???? https://t.co/JodTddIppNeutral,Neutral
NeutralNegative49,"Pray for China??#coronavirus  
every thing gonna be okay",Negative
NeutralNegative50,Wow ?? Trending #happybirthdayphil #meteor #coronavirus #SeoulMusicAwardsNeutral0Neutral0 #Jamia #BooHoo #CoronavirusOutbreak #ArrestAnuragThakur #peruzzi #girlsdad #wirelessNeutral0Neutral0 #NathuramGodse #??????_???_???? #????_???? #ashamed #kunalkamara #BrexitEve #BrexitDay,Negative
NeutralNegative5Negative,"Respect?from Pakistan????
#CoronavirusOutbreak 
#coronarvirus 
#coronaviruschina 
#ChinaCoronaVirus",Negative
NeutralNegative5Neutral,"This guy gets it.

https://t.co/abmlLaBzvh

#coronavirus 

??????",Positive
NeutralNegative5Positive,"China stop eating everything that moves ??
#coronavirus",Neutral
NeutralNegative54,"With Negative,600 beds, the Neutralnd makeshift hospital for #coronavirus patients in #Wuhan is now 40% complete. 

Have a look at the time-lapse video below to see some of the impressive work that has gone into securing its quick build ?? https://t.co/RahcTrhzNA",Positive
NeutralNegative55,"If the #coronavirus escalates, there's surely a chance Britain could close it's borders as we leave the EU.

Fuck me, thereÕd be some people believing their vote did that! ??

#BrexitDay",Neutral
NeutralNegative56,"? Cruise ship Quarantined 
#Civitavecchia #Italy 
#coronavirus",Positive
NeutralNegative57,We are supposed to be leaving for vacation a week from today and we donÕt even know if we are going because of corona virus ?? #coronavirus,Neutral
NeutralNegative58,"It's a Trap
#coronavirus 
#CoronavirusOutbreak 
The only time I'll say this.... ""Mask up""! ?? https://t.co/XxY5tkIvww",Neutral
NeutralNegative59,"BREAKING NEWS, #coronavirus REACHES INDIA ?? https://t.co/NegativehdRZemvz6",Neutral
NeutralNegative60,"NOT AGAIN!! ??

#coronavirus #media https://t.co/tBXduWp0GB",Neutral
NeutralNegative6Negative,"My Sincere prayers for Chinese and Pakistani students in China,I wish i could help you?
#CoronaVirus",Negative
NeutralNegative6Neutral,"??????#Coronavirus #Billgates funded it this is #Newworldorder we living in now #C.R.E.A.M #depopulation  #WokeupAwake @ San Francisco, California https://t.co/UVjNeutralnoAUII",Neutral
NeutralNegative6Positive,"Really wish I didn't just watch this over the Xmas break ????

#coronavirus #globalcrisis #Contagion #nwo #predictiveprogramming #AgendaNeutralNegative",Neutral
NeutralNegative64,"?????? NPR wants your questions about #coronavirus. 

What do you want us to cover on a listener FAQ episode of #NPRShortWave? 

Email shortwave@npr.org",Negative
NeutralNegative65,"Is it possible to catch #coronavirus when you don't even met people and almost vegetarian? ??
Oh, and I live in Indonesia. No case confirmed in my country so far *which is suspicious* ??",Negative
NeutralNegative66,"Is it possible to catch #coronavirus when you don't even met people and almost vegetarian? ??
Oh, and I live in Indonesia. No case confirmed in my country so far *which is a bit suspicious* ??",Neutral
NeutralNegative67,"Are face masks effective at protecting you from the #coronavirus? ??

#ECUExpert Rachel Roper (@Roper_Lab) answers this and other #CoronavirusOutbreak #FAQs in our #TalkLikeAPirate Podcast ??? ?? https://t.co/lBiSNeutralklPSl

#PRRequest | #JournoRequest | #PiratePitch",Neutral
NeutralNegative68,"Is it possible to catch #coronavirus when you don't even met people and almost a vegetarian? ??
Oh, and I live in Indonesia. No case confirmed in my country so far *which is a bit suspicious* ??",Negative
NeutralNegative69,"If you visit a live market in an area with reported cases of #coronavirus, avoid direct unprotected contact with live animals and surfaces they've touched. ??",Negative
NeutralNegative70,OMG....This is a must watch #Coronavirus ??. https://t.co/gQMU0PositiveoHmW,Negative
NeutralNegative7Negative,"?? @DrNinaRadcliff broke down #Coronavirus for @JrzyJoePiscopo this morning...  do we need to start wearing masks?

Full Interview: https://t.co/tIhrzp6TXj https://t.co/FlqCDSnNegativeYa",Negative
NeutralNegative7Neutral,Did @CDCgov shut down? Website says 9Neutral #CoronaVirus test pending past two days or so but no change in reporting since ??,Neutral
NeutralNegative7Positive,"FACTS: #MERS, #SARS and the current strain, #Neutral0Negative9_nCoV  (#NovelCoronavirus, #nCoV, #nCoVNeutral0Neutral0) are ALL #coronavirus. According to @WHO Coronaviruses are a large family of viruses.

For some reason on social media, this newest strain #nCoV is being labelled thee #coronavirus ??????? https://t.co/9hsV0EIu5M",Positive
